Rate limit: 20
Getting list of top war clans
player-worker-3: Requesting battles for player 88G00GLU
player-worker-2: Requesting battles for player J8R8U8QU
player-worker-12: Requesting battles for player PVVCY8C
player-worker-20: Requesting battles for player L0VP8R8V
player-worker-16: Requesting battles for player 82RGG8LVV
player-worker-5: Requesting battles for player 2U2Y828J
player-worker-15: Requesting battles for player 99LPCVRY
player-worker-6: Requesting battles for player 9RVVPYR
player-worker-1: Requesting battles for player P0LCR9LY
player-worker-9: Requesting battles for player 2U980G8QL
player-worker-4: Requesting battles for player YLC89R9U
player-worker-14: Requesting battles for player 9G8G9VPC
player-worker-19: Requesting battles for player 2JRLY20RU
player-worker-13: Requesting battles for player 9GUQL8VU
player-worker-18: Requesting battles for player Y8RPJJ2U
player-worker-17: Requesting battles for player C09PGLL2
player-worker-11: Requesting battles for player JU8QCG0
player-worker-7: Requesting battles for player 902LJYLG
player-worker-10: Requesting battles for player 9Q90G99Y
player-worker-8: Requesting battles for player 2QY922Y2C
player-worker-12: Requesting battles for player LPJY8PJ2
player-worker-20: Requesting battles for player 8U9QQ8R8
player-worker-3: Requesting battles for player 898L02G9
player-worker-2: Requesting battles for player G09L20YJ
player-worker-5: Requesting battles for player LYY202UY
player-worker-16: Requesting battles for player G8C2YJJC
player-worker-15: Requesting battles for player 2PVG0UG2G
player-worker-6: Requesting battles for player Y89YR89V
player-worker-19: Requesting battles for player 2LU22V8PU
player-worker-1: Requesting battles for player 9R90JRJC
player-worker-9: Requesting battles for player YJGRYR00
player-worker-14: Requesting battles for player 8CJL8L2J
player-worker-4: Requesting battles for player 8QJV0J9Y
player-worker-18: Requesting battles for player 2GJCVY0C
player-worker-17: Requesting battles for player CRG0C2CJ
player-worker-11: Requesting battles for player PVYCYG2G
player-worker-13: Requesting battles for player VCU2PVQ8
player-worker-8: Requesting battles for player QU0G2GYP
player-worker-12: Requesting battles for player PUG2J9RQ
player-worker-7: Requesting battles for player PJVV9LUY
player-worker-10: Requesting battles for player LRVGUJCJ
player-worker-2: Requesting battles for player 89QQULJJ
player-worker-3: Requesting battles for player PQCGYRUR
player-worker-15: Requesting battles for player QQ9UGL92
player-worker-16: Requesting battles for player 2RGLJ9R9
player-worker-5: Requesting battles for player 8RQCQCRL
player-worker-6: Requesting battles for player 29YPQLJG9
player-worker-20: Requesting battles for player VC28L0G
player-worker-19: Requesting battles for player 2GU822QJ
player-worker-1: Requesting battles for player QPG8QGR
player-worker-9: Requesting battles for player 2V2GGGP8G
player-worker-14: Requesting battles for player 28ULV920C
player-worker-17: Requesting battles for player YU2LQRQR
player-worker-18: Requesting battles for player 2C2PL92G
player-worker-11: Requesting battles for player Q8V2Y2YJ
player-worker-4: Requesting battles for player 29LCJP2
player-worker-12: Requesting battles for player 209GUVP8U
player-worker-2: Requesting battles for player L8YYCG0
player-worker-8: Requesting battles for player 2J8QQVCYC
player-worker-10: Requesting battles for player QRJ9GURV
player-worker-3: Requesting battles for player 9VG2VQJ0
player-worker-13: Requesting battles for player 2YCPCPJ8
player-worker-16: Requesting battles for player Q22VJC28
player-worker-6: Requesting battles for player UCV8RRJ8
player-worker-7: Requesting battles for player 20CC8U8
player-worker-14: Requesting battles for player PY9LJCYV
player-worker-9: Requesting battles for player QQRRVQV8
player-worker-1: Requesting battles for player 28C8G9Y2
player-worker-20: Requesting battles for player PYRL2GUC
player-worker-17: Requesting battles for player 8LYJR9LV0
player-worker-5: Requesting battles for player RV2CLC2Y
player-worker-15: Requesting battles for player 2PRG0URPY
player-worker-2: Requesting battles for player 8Y0LL8CU
player-worker-8: Requesting battles for player 8PY98R9P
player-worker-19: Requesting battles for player V800JQV
player-worker-4: Requesting battles for player J2QU0JL
player-worker-18: Requesting battles for player QVRVPUJC
player-worker-11: Requesting battles for player R2PPCL9
player-worker-10: Requesting battles for player 22VRR2P8J
player-worker-12: Requesting battles for player PYLVUG8L
player-worker-3: Requesting battles for player GYUQQCLV
player-worker-6: Requesting battles for player GRRCPQ0C
player-worker-7: Requesting battles for player 8CUULQR9
player-worker-13: Requesting battles for player QJR9UCP
player-worker-16: Requesting battles for player YJ00VJ80
player-worker-9: Requesting battles for player 2L2JYY2V
player-worker-20: Requesting battles for player QCYCR2R0
player-worker-1: Requesting battles for player 2220YUC0
player-worker-17: Requesting battles for player QQUQYRJ
player-worker-14: Requesting battles for player 200YGU829
player-worker-15: Requesting battles for player 2LCJL98R
player-worker-5: Requesting battles for player 2PCPJPVLQ
player-worker-11: Requesting battles for player 2VUR22J9G
player-worker-4: Requesting battles for player 2Y90QPGLY
player-worker-18: Requesting battles for player JQ0000LC
player-worker-8: Requesting battles for player PGJVCYV2
player-worker-2: Requesting battles for player 2QVGYPQ
player-worker-19: Requesting battles for player 8CJ0LU
player-worker-6: Requesting battles for player 2U2L9CVL
player-worker-10: Requesting battles for player 98JVR8RG
player-worker-13: Requesting battles for player 2Y2QRC9R9
player-worker-16: Requesting battles for player 898RLUC
player-worker-7: Requesting battles for player 9UVURLLR
player-worker-12: Requesting battles for player GLV8L2C
player-worker-3: Requesting battles for player 8G0QLVQQ
player-worker-20: Requesting battles for player UVJVPQ02
player-worker-1: Requesting battles for player LUL0PUVG
player-worker-17: Requesting battles for player G8RUJQQU
player-worker-14: Requesting battles for player 2Y0JG2P
player-worker-5: Requesting battles for player 9R9CPJGP
player-worker-9: Requesting battles for player LJPUR2Q
player-worker-4: Requesting battles for player LG0UGVJ
player-worker-18: Requesting battles for player 8J928PQJ
player-worker-11: Requesting battles for player RC0RJ02
player-worker-15: Requesting battles for player 20QLRVUU
player-worker-2: Requesting battles for player 2V8Q9UYQ0
player-worker-6: Requesting battles for player 2Y8YG2VL
player-worker-8: Requesting battles for player 299Q2YLGR
player-worker-13: Requesting battles for player GUJVL8JU
player-worker-16: Requesting battles for player 2RGPGYRU
player-worker-7: Requesting battles for player 9UQ8YPC8
player-worker-19: Requesting battles for player QLCL09
player-worker-10: Requesting battles for player LPLVRQP
player-worker-12: Requesting battles for player P892UJCU
player-worker-20: Requesting battles for player LCLULQV
player-worker-3: Requesting battles for player 9R2CJRC8
player-worker-17: Requesting battles for player U2LRRQL
player-worker-14: Requesting battles for player P8PC08V
player-worker-18: Requesting battles for player V889PU2
player-worker-15: Requesting battles for player 8QCJPR
player-worker-1: Requesting battles for player P02U8LQR
player-worker-11: Requesting battles for player 2VYYJYC9
player-worker-4: Requesting battles for player 9PVLCUU9
player-worker-9: Requesting battles for player PC9G2UL
player-worker-5: Requesting battles for player GPGQCL8Q
player-worker-6: Requesting battles for player QLYG2PJ
player-worker-8: Requesting battles for player UQ0898J
player-worker-16: Requesting battles for player 2J0JRQJV
player-worker-2: Requesting battles for player 88LGR2RQY
player-worker-19: Requesting battles for player 2VP8Q2PU9
player-worker-12: Requesting battles for player 8GPLYC
player-worker-10: Requesting battles for player 288QL20GL
player-worker-7: Requesting battles for player Q0U2LJ0R
player-worker-13: Requesting battles for player CL99CLP
player-worker-20: Requesting battles for player 2YVRY8YU
player-worker-15: Requesting battles for player 9QG9RC0
player-worker-17: Requesting battles for player 299PLGC
player-worker-14: Requesting battles for player 282LVUP
player-worker-3: Requesting battles for player LUYVCV2P
player-worker-11: Requesting battles for player J89808Q
player-worker-1: Requesting battles for player Y9GPRJLV
player-worker-9: Requesting battles for player 2VL2YGV
player-worker-6: Requesting battles for player QJYJPG2G
player-worker-18: Requesting battles for player YG2R2R2
player-worker-8: Requesting battles for player PQYRJU00
player-worker-4: Requesting battles for player CYL2222
player-worker-5: Requesting battles for player 2GCL09JLC
player-worker-16: Requesting battles for player 2GC982Y09
player-worker-20: Requesting battles for player RG8GQVQJ
player-worker-19: Requesting battles for player 2LVL0Q2
player-worker-10: Requesting battles for player 88QUJ0J8
player-worker-2: Requesting battles for player JLPLQG
player-worker-13: Requesting battles for player 8ULJQ0PL
player-worker-7: Requesting battles for player 9CL90PLU
player-worker-17: Requesting battles for player P8C8JRV
player-worker-15: Requesting battles for player UYY0LVY
player-worker-3: Requesting battles for player Q8P8Q9
player-worker-14: Requesting battles for player 29C2PP8J
player-worker-12: Requesting battles for player R2CP0LQ
player-worker-1: Requesting battles for player 220L9GC2
player-worker-11: Requesting battles for player CRUU2
player-worker-6: Requesting battles for player 8CJ0VLC
player-worker-8: Requesting battles for player QJQ2VQC
player-worker-18: Requesting battles for player 9GQVUCRV
player-worker-4: Requesting battles for player YGU0R9
player-worker-5: Requesting battles for player 80YVV0GC
player-worker-16: Requesting battles for player 8GLUYL
player-worker-20: Requesting battles for player JV0VJ9V
player-worker-9: Requesting battles for player PPVVRRR0
player-worker-10: Requesting battles for player RRGJ9VU0
player-worker-19: Requesting battles for player P2JVLCRG
player-worker-13: Requesting battles for player 290J29Y
player-worker-2: Requesting battles for player 9882LV0L
player-worker-7: Requesting battles for player 8QPPCC99
player-worker-15: Requesting battles for player VPLYJCL
player-worker-14: Requesting battles for player 9JRQV929
player-worker-17: Requesting battles for player R8J9GU8L
player-worker-11: Requesting battles for player RPURP28
player-worker-3: Requesting battles for player Y0RJCP2G
player-worker-18: Requesting battles for player PU0ULCU8
player-worker-8: Requesting battles for player 89Y8RVLY
player-worker-1: Requesting battles for player YLU8CC8U
player-worker-12: Requesting battles for player UUPJ08LQ
player-worker-6: Requesting battles for player L92Q80RP
player-worker-4: Requesting battles for player 8GL8PQRL
player-worker-5: Requesting battles for player JRPQPR2J
player-worker-20: Requesting battles for player GR9VU9QQ
player-worker-16: Requesting battles for player 2RRRLQP
player-worker-9: Requesting battles for player 20JQGPYYC
player-worker-10: Requesting battles for player Y8J2Q2GQ
player-worker-13: Requesting battles for player 2QLLLC2V2
player-worker-19: Requesting battles for player R9VVYCU8
player-worker-2: Requesting battles for player GP0298LQ
player-worker-7: Requesting battles for player 2G009YJV
player-worker-15: Requesting battles for player YQJ99QG2
player-worker-11: Requesting battles for player 8QCCC02L
player-worker-14: Requesting battles for player CV8RQ29G
player-worker-17: Requesting battles for player 9U998PYV
player-worker-1: Requesting battles for player L9QRY00G
player-worker-8: Requesting battles for player 80GLUV8Q
player-worker-12: Requesting battles for player 2PPCLG2U9
player-worker-6: Requesting battles for player 8LQU0GR9
player-worker-20: Requesting battles for player QYQ80LRQ
player-worker-5: Requesting battles for player C2YG02U0
player-worker-4: Requesting battles for player 9CGPRYP8
player-worker-9: Requesting battles for player 20GU0QRCV
player-worker-18: Requesting battles for player 22U88LC08
player-worker-3: Requesting battles for player Y00G0P2P
player-worker-16: Requesting battles for player QVPJ2RC0
player-worker-10: Requesting battles for player RP2V9UJJ
player-worker-13: Requesting battles for player QRY8QLJ
player-worker-19: Requesting battles for player 8R2L2J8P
player-worker-2: Requesting battles for player 9YY2Y8UR
player-worker-15: Requesting battles for player LU0JGPUJ
player-worker-14: Requesting battles for player 2C29GY8L
player-worker-17: Requesting battles for player 980Q808J
player-worker-7: Requesting battles for player Y2RCY2GP
player-worker-12: Requesting battles for player 90GJRYJU
player-worker-1: Requesting battles for player J99LGPGR
player-worker-11: Requesting battles for player JYG8UR82
player-worker-8: Requesting battles for player Y0P09UUY
player-worker-6: Requesting battles for player 2GYCQVR2
player-worker-4: Requesting battles for player 2QRCPVYLU
player-worker-5: Requesting battles for player PYRLLU20
player-worker-20: Requesting battles for player 82V8PYC
player-worker-9: Requesting battles for player PUURVPJR
player-worker-3: Requesting battles for player 2R0YU2C9
player-worker-18: Requesting battles for player CL8YYGP
player-worker-16: Requesting battles for player P92QJJP2
player-worker-13: Requesting battles for player 2PQGR0GCQ
player-worker-19: Requesting battles for player P9C02R0Y
player-worker-10: Requesting battles for player 2URVYU2Q
player-worker-14: Requesting battles for player YRGYRC
player-worker-15: Requesting battles for player 9P08LYLL
player-worker-7: Requesting battles for player 8908YPRR
player-worker-2: Requesting battles for player GY2UJYP
player-worker-17: Requesting battles for player 2QVRRR2
player-worker-6: Requesting battles for player GVU2YJ0Y
player-worker-4: Requesting battles for player 9QVQRVRV
player-worker-12: Requesting battles for player L9CG29PY
player-worker-5: Requesting battles for player 2PY2228U9
player-worker-20: Requesting battles for player RCLJLC9G
player-worker-9: Requesting battles for player YVV8RVLU
player-worker-16: Requesting battles for player 80RCRR8G
player-worker-3: Requesting battles for player L28C2PUL
player-worker-19: Requesting battles for player PPPY9V9Q
player-worker-18: Requesting battles for player 282VUQGGU
player-worker-11: Requesting battles for player CVGUJ90
player-worker-1: Requesting battles for player YVRRGL
player-worker-8: Requesting battles for player L8VVQ0LP
player-worker-10: Requesting battles for player PQPYLP2J
player-worker-14: Requesting battles for player 888LLJCYP
player-worker-13: Requesting battles for player 8RG98YLP
player-worker-15: Requesting battles for player 8VYPQCG
player-worker-4: Requesting battles for player P09P9CJL
player-worker-2: Requesting battles for player Q0GPG0J2
player-worker-6: Requesting battles for player 2C90YV
player-worker-17: Requesting battles for player 9VVYPGJP
player-worker-12: Requesting battles for player P8Y0QP80
player-worker-5: Requesting battles for player PGQ9G29P
player-worker-20: Requesting battles for player YGY2VJ98
player-worker-7: Requesting battles for player JQ0QJUJ
player-worker-9: Requesting battles for player 8QPQ9YL9
player-worker-3: Requesting battles for player UQ29GC8C
player-worker-16: Requesting battles for player 8JQCVPL0
player-worker-19: Requesting battles for player VC998LP
player-worker-10: Requesting battles for player YYJ0R0G
player-worker-11: Requesting battles for player 2PUJ2URC
player-worker-14: Requesting battles for player PCPLPQY0
player-worker-18: Requesting battles for player YGJUV8PR
player-worker-1: Requesting battles for player JY2QR8C
player-worker-8: Requesting battles for player P09R2JC
player-worker-13: Requesting battles for player CPVJCGP
player-worker-15: Requesting battles for player L8GCGP2
player-worker-2: Requesting battles for player 8028J8YC
player-worker-6: Requesting battles for player J8UPGQU2
player-worker-12: Requesting battles for player 8CP082C
player-worker-5: Requesting battles for player LUGGR08G
player-worker-7: Requesting battles for player PP000LGV
player-worker-20: Requesting battles for player RGGJP
player-worker-3: Requesting battles for player 8QL9U8UP
player-worker-4: Requesting battles for player LGV9U9CG
player-worker-9: Requesting battles for player PPR9QQC
player-worker-17: Requesting battles for player 90LGP8QR
player-worker-19: Requesting battles for player PVUYP09Y
player-worker-10: Requesting battles for player PGC090Q
player-worker-11: Requesting battles for player PQYL0C9P
player-worker-18: Requesting battles for player 22VYJ2CL
player-worker-16: Requesting battles for player PCJC988U
player-worker-14: Requesting battles for player LVU92
player-worker-8: Requesting battles for player P9V2QJ9
player-worker-13: Requesting battles for player RRGQJ892
player-worker-15: Requesting battles for player 8980Q9PG
player-worker-2: Requesting battles for player 82Q22JY0
player-worker-6: Requesting battles for player JLVYJQLL
player-worker-5: Requesting battles for player QG9GJ2RJ
player-worker-1: Requesting battles for player YLYRPU8
player-worker-12: Requesting battles for player Q9QRJ8LG
player-worker-7: Requesting battles for player 8YG29VC9
player-worker-4: Requesting battles for player PU8YPVL
player-worker-20: Requesting battles for player LGRUU8PU
player-worker-9: Requesting battles for player P9LCQJCR
player-worker-3: Requesting battles for player 9VCUYUPP
player-worker-17: Requesting battles for player QLULQLJG
player-worker-10: Requesting battles for player RVPR2GQC
player-worker-18: Requesting battles for player 29GJ9QRU2
player-worker-16: Requesting battles for player 2GCRLCCU
player-worker-19: Requesting battles for player R8PQVGU8
player-worker-14: Requesting battles for player RP2PR9UC
player-worker-8: Requesting battles for player 2JR92PU02
player-worker-11: Requesting battles for player 2LU2JLVR
player-worker-1: Requesting battles for player LVY2JP2Q
player-worker-15: Requesting battles for player 2G2RUUYP
player-worker-5: Requesting battles for player 98P2C9YV
player-worker-6: Requesting battles for player PL9PY09Y
player-worker-7: Requesting battles for player RUQ0J0L2
player-worker-9: Requesting battles for player 9VYQQVRY
player-worker-13: Requesting battles for player PJRPJPP
player-worker-2: Requesting battles for player QYPQG0UY
player-worker-3: Requesting battles for player LJ2QJV2C
player-worker-12: Requesting battles for player QR0YJ8G
player-worker-4: Requesting battles for player Y00L92PJ
player-worker-20: Requesting battles for player 89GPV0YJ9
player-worker-17: Requesting battles for player 8QUU9LY2
player-worker-16: Requesting battles for player QGCCPQ28
player-worker-10: Requesting battles for player VVGLCPG
player-worker-19: Requesting battles for player L00GYV0P
player-worker-14: Requesting battles for player Y9YRGV8R
player-worker-11: Requesting battles for player 80YUY0LQ
player-worker-5: Requesting battles for player P80L2PLJ
player-worker-18: Requesting battles for player 8QYR2GGU
player-worker-8: Requesting battles for player V8UGCYQL
player-worker-7: Requesting battles for player C9PJJYCG
player-worker-9: Requesting battles for player CCR09L9J
player-worker-3: Requesting battles for player QL8QUJJU
player-worker-1: Requesting battles for player 899JQ2YY
player-worker-4: Requesting battles for player 29YL8PJ2
player-worker-20: Requesting battles for player CQCRYP0
player-worker-15: Requesting battles for player L9JY92L2
player-worker-6: Requesting battles for player UYLYCJV9
player-worker-12: Requesting battles for player 9GCR00L8
player-worker-16: Requesting battles for player 8YQQGV29L
player-worker-10: Requesting battles for player PQJQGU8C
player-worker-17: Requesting battles for player 9JRJL09R
player-worker-13: Requesting battles for player 2U82JC82
player-worker-2: Requesting battles for player 22VCVRYU9
player-worker-19: Requesting battles for player VLQ99VR
player-worker-11: Requesting battles for player P8G0PPU0
player-worker-18: Requesting battles for player LUJR29UJ
player-worker-5: Requesting battles for player 2020URVC0
player-worker-14: Requesting battles for player YUUL2JL2
player-worker-8: Requesting battles for player 8PYRUJ02P
player-worker-7: Requesting battles for player 20QJURG9R
player-worker-3: Requesting battles for player P8V8G0PC
player-worker-1: Requesting battles for player PLGPGPR9
player-worker-4: Requesting battles for player 89RR2UCQ0
player-worker-6: Requesting battles for player 920JJGQ0
player-worker-9: Requesting battles for player 2JUQCPPQ8
player-worker-15: Requesting battles for player GJLYR9Y8
player-worker-12: Requesting battles for player YJ0RRUL
player-worker-20: Requesting battles for player GCG2G2VR
player-worker-13: Requesting battles for player PPUCR2UR
player-worker-10: Requesting battles for player 8GYYCU8CG
player-worker-2: Requesting battles for player 9QPPPCR8Y
player-worker-19: Requesting battles for player 2YQUUV2QQ
player-worker-18: Requesting battles for player 88CQUJVQP
player-worker-11: Requesting battles for player PY929QJ2
player-worker-16: Requesting battles for player YLPGUGYL
player-worker-14: Requesting battles for player VUR2Q88U
player-worker-17: Requesting battles for player 8UVRRGRV
player-worker-7: Requesting battles for player VYJP8LQ
player-worker-6: Requesting battles for player 8CC0UC
player-worker-5: Requesting battles for player 2VY9YCRUG
player-worker-8: Requesting battles for player 9LG0RQPP
player-worker-9: Requesting battles for player 9CV2CUC
player-worker-3: Requesting battles for player RG00CQYG
player-worker-1: Requesting battles for player PJLRVJQ
player-worker-4: Requesting battles for player GP09GR
player-worker-20: Requesting battles for player 2R0J9RRLC
player-worker-15: Requesting battles for player V0YGGCR
player-worker-10: Requesting battles for player 9JLVYJVG
player-worker-12: Requesting battles for player Y2PR9YY8
player-worker-13: Requesting battles for player PRLYVJ9L
player-worker-2: Requesting battles for player 8G8CY000
player-worker-18: Requesting battles for player 2VJVJYVY
player-worker-19: Requesting battles for player 8G8QPUVV
player-worker-11: Requesting battles for player Q8LQY8Y0
player-worker-17: Requesting battles for player R8JLV8U
player-worker-7: Requesting battles for player PY890LL
player-worker-6: Requesting battles for player 2LYL8QRQ
player-worker-16: Requesting battles for player 29P00PPG
player-worker-1: Requesting battles for player URQJULQ
player-worker-9: Requesting battles for player VG9YUG0Y
player-worker-5: Requesting battles for player 2CCPGV
player-worker-8: Requesting battles for player R8VVQJYJ
player-worker-14: Requesting battles for player 280R022UU
player-worker-3: Requesting battles for player 280GR2YU
player-worker-15: Requesting battles for player QRPRG0R0
player-worker-2: Requesting battles for player 9RPQUURC
player-worker-4: Requesting battles for player J8JGU9R
player-worker-10: Requesting battles for player 2U0G0QUV
player-worker-20: Requesting battles for player LLRY88
player-worker-13: Requesting battles for player 9JQQRJLR
player-worker-12: Requesting battles for player 2YJ2P8PR9
player-worker-8: Requesting battles for player JVJVL2
player-worker-18: Requesting battles for player 88GQPLJU
player-worker-7: Requesting battles for player 9U28RJQR
player-worker-19: Requesting battles for player YLPQQLGC
player-worker-1: Requesting battles for player 22LVUQQCV
player-worker-17: Requesting battles for player 20GQ002V
player-worker-5: Requesting battles for player 9YRQPLGC
player-worker-16: Requesting battles for player L9PG8V00
player-worker-11: Requesting battles for player CQRRY8PY
player-worker-6: Requesting battles for player 20U8VJ92J
player-worker-14: Requesting battles for player P2PJYJG9
player-worker-3: Requesting battles for player 9GU20JLP
player-worker-9: Requesting battles for player Q8V988
player-worker-18: Requesting battles for player RR222J29
player-worker-7: Requesting battles for player CJUUU2GP
player-worker-15: Requesting battles for player RYY9GJLG
player-worker-2: Requesting battles for player 2LUVLYJR
player-worker-20: Requesting battles for player P0LJRGUP
player-worker-13: Requesting battles for player P9P0GQCU
player-worker-19: Requesting battles for player PL0YJJLJ
player-worker-8: Requesting battles for player 9YR289Y
player-worker-17: Requesting battles for player Q8C0CC0U
player-worker-10: Requesting battles for player Q2QU0RRP
player-worker-12: Requesting battles for player YYJV0UCG
player-worker-4: Requesting battles for player L8Q98CJ
player-worker-1: Requesting battles for player 2GPQJ0QV
player-worker-14: Requesting battles for player GPJRQJ80
player-worker-16: Requesting battles for player R0U9UP9P
player-worker-5: Requesting battles for player LV9U2GCL
player-worker-11: Requesting battles for player PYY89JC
player-worker-6: Requesting battles for player 2LCRU2R9
player-worker-18: Requesting battles for player 28LRUPCV
player-worker-7: Requesting battles for player 8GJ8PGP0
player-worker-9: Requesting battles for player Y0J2RLV2
player-worker-15: Requesting battles for player 8GYUYRGQ
player-worker-3: Requesting battles for player 2V0P9GVV
player-worker-2: Requesting battles for player JP2P9CQG
player-worker-10: Requesting battles for player PRRRR8LP
player-worker-20: Requesting battles for player 8LRYC989
player-worker-4: Requesting battles for player 9G99LYJ
player-worker-13: Requesting battles for player RJV8UJQ
player-worker-17: Requesting battles for player 8YQYV9VY
player-worker-8: Requesting battles for player R2CPRJYL
player-worker-12: Requesting battles for player 8YGQ0RV0G
player-worker-19: Requesting battles for player Y0P8V9YY
player-worker-16: Requesting battles for player G9L8209L
player-worker-1: Requesting battles for player P8VV9P92
player-worker-14: Requesting battles for player 2YLVLCGV
player-worker-11: Requesting battles for player 9VYJU9L8Q
player-worker-6: Requesting battles for player 2JC0LJJ8
player-worker-5: Requesting battles for player PY8LULJ8
player-worker-3: Requesting battles for player P8JUPU0P
player-worker-15: Requesting battles for player QL20RJ88
player-worker-2: Requesting battles for player 2YU0RYR8
player-worker-10: Requesting battles for player GLPJL02U
player-worker-7: Requesting battles for player QPPGRP88
Data downloaded, now printing to file
Found 9758 battles.
9745 repeat battles in file
